batter,des,x,y,pitcher,type,team,inning,first,last,bats,team_abbrev,full.name
488726,Single,78.31,112.45,435221,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,65.26,98.39,475115,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,88.35,180.72,516969,O,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,160.64,126.51,474029,H,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,113.45,77.31,453222,O,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,144.58,154.62,519344,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,140.56,157.63,425386,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,107.43,172.69,519242,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,142.57,42.17,453286,H,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,87.35,115.46,433579,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,152.61,169.68,435045,O,H,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,143.57,163.65,446399,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,108.43,69.28,462956,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,44.18,112.45,573204,O,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,158.63,123.49,454537,H,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,124.5,95.38,476454,H,H,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,117.47,187.75,572403,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,90.36,82.33,150274,O,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,132.53,109.44,450282,H,H,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,200.8,101.41,453344,H,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,147.59,172.69,504379,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,155.62,166.67,448306,O,H,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,94.38,111.45,516969,O,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,210.84,108.43,429781,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,138.55,89.36,592244,H,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Error,114.46,154.62,547943,E,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,102.41,71.29,570649,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,145.58,154.62,453311,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,168.67,121.49,488787,H,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,138.55,157.63,433579,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,175.7,126.51,456068,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,74.3,98.39,543278,H,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,215.86,105.42,543243,H,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,117.47,187.75,519085,H,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,158.63,67.27,462956,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,105.42,131.53,453286,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,150.6,165.66,431162,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,104.42,79.32,518633,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,91.37,164.66,453222,H,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,153.61,167.67,425386,O,H,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,98.39,78.31,499107,O,A,10,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,115.46,156.63,434622,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,155.62,164.66,435221,O,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,132.53,105.42,456034,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,97.39,75.3,408241,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,117.47,68.27,516969,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,125.5,122.49,516589,H,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,77.31,85.34,542960,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,197.79,78.31,445060,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,152.61,165.66,408241,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
